ts_code,trade_date,auction_price,auction_vol,auction_amount,auction_pct_chg,auction_amount_ratio,auction_strength_score
600000.SH,20260709,8.97,199901,1793112.0,,,0
600004.SH,20260709,7.54,12500,94250.0,,,0
600006.SH,20260709,5.19,34200,177498.0,,,0
600007.SH,20260709,19.36,4700,90992.0,,,0
600008.SH,20260709,2.79,329000,917910.0,,,0
600009.SH,20260709,22.7,29100,660570.0,,,0
600010.SH,20260709,2.18,1271000,2770780.0,,,0
600011.SH,20260709,6.76,480000,3244800.0,,,0
600012.SH,20260709,17.3,12000,207600.0,,,0
600015.SH,20260709,6.78,604400,4097832.0,,,0
600016.SH,20260709,3.31,486200,1609322.0,,,0
600017.SH,20260709,2.62,95300,249686.0,,,0
600018.SH,20260709,5.06,123000,622380.0,,,0
600019.SH,20260709,5.54,249000,1379460.0,,,0
600020.SH,20260709,3.78,22000,83160.0,,,0
600021.SH,20260709,13.77,66900,921213.0,,,0
600022.SH,20260709,1.27,638300,810641.0,,,0
600023.SH,20260709,5.33,209600,1117168.0,,,0
600025.SH,20260709,9.43,208900,1969927.0,,,0
600026.SH,20260709,16.07,391900,6297833.0,,,0
600027.SH,20260709,4.47,744800,3329256.0,,,0
600028.SH,20260709,4.83,2452200,11844126.0,,,0
600029.SH,20260709,5.01,1250300,6264003.0,,,0
600030.SH,20260709,28.01,754830,21142788.0,,,0
600031.SH,20260709,18.72,305516,5719260.0,,,0
600032.SH,20260709,6.49,89000,577610.0,,,0
600033.SH,20260709,3.39,71700,243063.0,,,0
600035.SH,20260709,3.51,129200,453492.0,,,0
600036.SH,20260709,37.7,392300,14789710.0,,,0
600037.SH,20260709,6.25,85300,533125.0,,,0
600038.SH,20260709,24.99,3000,74970.0,,,0
600039.SH,20260709,8.7,39800,346260.0,,,0
600048.SH,20260709,4.61,689600,3179056.0,,,0
600050.SH,20260709,4.07,447000,1819290.0,,,0
600051.SH,20260709,5.77,4900,28273.0,,,0
600052.SH,20260709,3.53,114200,403126.0,,,0
600053.SH,20260709,8.31,15800,131298.0,,,0
600054.SH,20260709,10.87,176500,1918555.0,,,0
600055.SH,20260709,10.42,17500,182350.0,,,0
600056.SH,20260709,9.01,22300,200923.0,,,0
600057.SH,20260709,5.82,18500,107670.0,,,0
600058.SH,20260709,10.5,60700,637350.0,,,0
600059.SH,20260709,7.6,7900,60040.0,,,0
600060.SH,20260709,26.89,75800,2038262.0,,,0
600061.SH,20260709,6.46,143700,928302.0,,,0
600062.SH,20260709,16.48,23200,382336.0,,,0
600063.SH,20260709,6.28,840800,5280224.0,,,0
600064.SH,20260709,7.38002,26412,194921.0,,,0
600066.SH,20260709,28.7,34100,978670.0,,,0
600067.SH,20260709,2.74,33100,90694.0,,,0
600071.SH,20260709,15.58,3100,48298.0,,,0
600072.SH,20260709,8.09,32900,266161.0,,,0
600073.SH,20260709,4.95,26700,132165.0,,,0
600075.SH,20260709,4.12,78000,321360.0,,,0
600076.SH,20260709,3.2,517200,1655040.0,,,0
600078.SH,20260709,10.99,86000,945140.0,,,0
600079.SH,20260709,17.16,29000,497640.0,,,0
600080.SH,20260709,4.73,28600,135278.0,,,0
600081.SH,20260709,9.22,3700,34114.0,,,0
600082.SH,20260709,2.77,105600,292512.0,,,0
600084.SH,20260709,4.22,35300,148966.0,,,0
600085.SH,20260709,23.31,15900,370629.0,,,0
600088.SH,20260709,11.21,15300,171513.0,,,0
600089.SH,20260709,20.0,291600,5832000.0,,,0
600094.SH,20260709,4.3,5020600,21588580.0,,,0
600095.SH,20260709,7.49,40600,304094.0,,,0
600096.SH,20260709,28.83,73200,2110356.0,,,0
600097.SH,20260709,7.99,3800,30362.0,,,0
600098.SH,20260709,6.02,33300,200466.0,,,0
600099.SH,20260709,8.05,12900,103845.0,,,0
600100.SH,20260709,6.74,229800,1548852.0,,,0
600101.SH,20260709,7.74,5600,43344.0,,,0
600103.SH,20260709,2.83,167600,474308.0,,,0
600104.SH,20260709,10.01,85200,852852.0,,,0
600105.SH,20260709,48.98,515800,25263884.0,,,0
600106.SH,20260709,4.44,10200,45288.0,,,0
600107.SH,20260709,6.29,2400,15096.0,,,0
600108.SH,20260709,2.85,183000,521550.0,,,0
600109.SH,20260709,8.59,117900,1012761.0,,,0
600110.SH,20260709,13.7,2002100,27428770.0,,,0
600111.SH,20260709,45.5,513700,23373350.0,,,0
600113.SH,20260709,30.03,87400,2624622.0,,,0
600114.SH,20260709,33.38,34100,1138258.0,,,0
600115.SH,20260709,3.61,2349500,8481695.0,,,0
600116.SH,20260709,5.72,77000,440440.0,,,0
600117.SH,20260709,2.1,5700,11970.0,,,0
600118.SH,20260709,77.92,125200,9755584.0,,,0
600119.SH,20260709,4.52,3300,14916.0,,,0
600120.SH,20260709,4.87,1916400,9332868.0,,,0
600121.SH,20260709,3.45,294100,1014645.0,,,0
600123.SH,20260709,5.76,31800,183168.0,,,0
600125.SH,20260709,5.25,18500,97125.0,,,0
600126.SH,20260709,5.85,400600,2343510.0,,,0
