ts_code,trade_date,update_time,name,price,open,high,low,pre_close,pct_chg,vol,amount
000001.SZ,20260708,20260708 13:26:00,平安银行,10.58,10.44,10.59,10.34,10.47,1.0506208213944657,61243299,643989923.48
000002.SZ,20260708,20260708 13:26:00,万 科Ａ,2.99,2.98,3.01,2.95,2.99,0.0,56736629,168674163.3
000004.SZ,20260708,20260708 13:25:15,国华退,0.38,0.39,0.4,0.36,0.4,-5.000000000000004,3018510,1142448.6
000006.SZ,20260708,20260708 13:25:57,深振业Ａ,6.81,6.8,6.86,6.65,6.8,0.14705882352941124,10189450,69000630.54
000007.SZ,20260708,20260708 13:26:00,全新好,11.34,11.81,11.88,11.26,11.59,-2.1570319240724722,5312000,61154186.0
000008.SZ,20260708,20260708 13:25:33,神州高铁,0.0,0.0,0.0,0.0,2.36,-100.0,0,0.0
000009.SZ,20260708,20260708 13:26:00,中国宝安,6.16,6.28,6.32,6.12,6.26,-1.5974440894568676,11119608,68762420.36
000010.SZ,20260708,20260708 13:25:51,*ST美丽,1.8,1.8,1.83,1.75,1.83,-1.6393442622950838,9429000,16801627.0
000011.SZ,20260708,20260708 13:25:42,深物业A,6.36,6.41,6.41,6.23,6.37,-0.15698587127158659,2553513,16151195.16
000012.SZ,20260708,20260708 13:26:00,南 玻Ａ,4.25,4.24,4.33,4.17,4.23,0.47281323877068626,36573567,155603324.56
000014.SZ,20260708,20260708 13:25:54,沙河股份,8.96,9.0,9.01,8.79,8.99,-0.33370411568408587,2411500,21496922.0
000016.SZ,20260708,20260708 13:25:57,*ST康佳A,2.51,2.42,2.54,2.37,2.4,4.583333333333339,19496360,48285387.0
000017.SZ,20260708,20260708 13:26:00,深中华A,6.04,6.0,6.24,5.94,6.03,0.16583747927030323,11006101,67003187.02
000019.SZ,20260708,20260708 13:26:00,深粮控股,5.9,5.86,5.98,5.8,5.9,0.0,3404980,20039783.9
000020.SZ,20260708,20260708 13:26:00,深华发Ａ,10.39,10.41,10.62,10.28,10.63,-2.2577610536218318,2234100,23218465.0
000021.SZ,20260708,20260708 13:26:00,深科技,52.43,54.1,55.0,49.33,54.07,-3.0331052339559794,127033744,6574102925.06
000025.SZ,20260708,20260708 13:25:57,特 力Ａ,13.42,13.6,13.65,13.3,13.55,-0.9594095940959502,2423806,32636717.7
000026.SZ,20260708,20260708 13:25:57,飞亚达,19.24,20.38,20.5,19.07,20.51,-6.192101413944428,9003400,175979420.0
000027.SZ,20260708,20260708 13:26:00,深圳能源,6.03,6.03,6.09,5.98,6.03,0.0,15649980,94449104.4
000028.SZ,20260708,20260708 13:25:45,国药一致,20.62,20.51,20.92,20.27,20.44,0.8806262230919737,2137006,44145947.78
000029.SZ,20260708,20260708 13:26:00,深深房Ａ,22.33,22.29,22.58,21.96,22.29,0.17945266935845972,2686640,59721061.4
000030.SZ,20260708,20260708 13:25:36,富奥股份,4.01,4.0,4.06,3.94,4.0,0.24999999999999467,7081600,28407219.0
000031.SZ,20260708,20260708 13:26:00,大悦城,2.09,2.08,2.11,2.04,2.09,0.0,22431399,46565420.94
000032.SZ,20260708,20260708 13:26:00,深桑达Ａ,21.21,21.7,22.0,20.43,21.36,-0.7022471910112293,36354484,773701919.3
000034.SZ,20260708,20260708 13:26:00,神州数码,28.83,27.87,29.32,27.53,26.82,7.494407158836691,67064642,1892547239.8
000035.SZ,20260708,20260708 13:26:00,中国天楹,4.57,4.63,4.64,4.54,4.64,-1.5086206896551602,19572500,89704205.0
000036.SZ,20260708,20260708 13:25:54,华联控股,4.1,4.16,4.2,4.06,4.16,-1.4423076923077094,15106910,62110113.0
000037.SZ,20260708,20260708 13:26:00,深南电A,8.19,8.25,8.28,8.1,8.25,-0.727272727272732,6450500,52868616.0
000039.SZ,20260708,20260708 13:26:00,中集集团,7.93,7.96,8.15,7.89,7.96,-0.37688442211055717,17896920,143321756.2
000042.SZ,20260708,20260708 13:26:00,中洲控股,7.49,7.3,7.8,7.3,7.3,2.602739726027403,6799604,51354323.4
000045.SZ,20260708,20260708 13:25:54,深纺织Ａ,9.62,9.57,9.69,9.43,9.62,0.0,3203800,30484278.0
000048.SZ,20260708,20260708 13:26:00,京基智农,21.86,21.43,22.1,21.11,21.52,1.5799256505576231,11265000,243365816.0
000049.SZ,20260708,20260708 13:25:51,德赛电池,24.09,24.56,24.71,23.73,24.61,-2.1129622104835377,4816064,115977413.34
000050.SZ,20260708,20260708 13:26:00,深天马Ａ,8.01,8.35,8.49,7.95,8.33,-3.8415366146458574,46299114,374946811.96
000055.SZ,20260708,20260708 13:26:00,方大集团,3.24,3.21,3.26,3.18,3.23,0.3095975232198178,5830300,18781291.0
000056.SZ,20260708,20260708 13:26:00,*ST皇庭,2.22,2.17,2.26,2.11,2.25,-1.3333333333333197,22101900,48385150.0
000058.SZ,20260708,20260708 13:25:45,深 赛 格,6.01,5.99,6.07,5.91,6.0,0.16666666666667052,4465056,26746632.44
000059.SZ,20260708,20260708 13:26:00,华锦股份,4.06,4.12,4.18,4.03,4.12,-1.456310679611661,17502100,71493401.0
000060.SZ,20260708,20260708 13:26:00,中金岭南,6.69,6.83,6.88,6.61,6.87,-2.6200873362445365,99525271,669787558.2
000061.SZ,20260708,20260708 13:25:36,农 产 品,5.52,5.55,5.61,5.45,5.55,-0.5405405405405461,10048680,55473112.8
000062.SZ,20260708,20260708 13:26:00,深圳华强,33.33,32.79,34.2,31.81,32.43,2.775208140610541,55150124,1831279159.01
000063.SZ,20260708,20260708 13:26:00,中兴通讯,37.04,36.79,37.5,36.13,35.79,3.492595697122103,146978478,5397666774.67
000065.SZ,20260708,20260708 13:25:54,北方国际,9.09,9.18,9.19,8.97,9.19,-1.088139281828071,9508667,86320295.84
000066.SZ,20260708,20260708 13:26:00,中国长城,19.43,18.88,19.7,18.77,18.58,4.574811625403674,247946216,4774025770.08
000068.SZ,20260708,20260708 13:25:54,华控赛格,2.75,2.75,2.79,2.71,2.76,-0.36231884057970065,8068600,22227120.0
000069.SZ,20260708,20260708 13:26:00,华侨城Ａ,1.63,1.64,1.65,1.61,1.62,0.6172839506172645,33881023,55128539.26
000070.SZ,20260708,20260708 13:26:00,特发信息,17.85,18.31,18.44,17.09,18.18,-1.8151815181518094,50316540,890879654.4
000078.SZ,20260708,20260708 13:25:57,ST海王,1.98,1.81,1.98,1.81,1.8,9.999999999999986,116242815,223321077.88
000088.SZ,20260708,20260708 13:26:00,盐 田 港,4.19,4.16,4.22,4.13,4.16,0.7211538461538547,8884103,37166438.23
000089.SZ,20260708,20260708 13:25:57,深圳机场,6.33,6.32,6.44,6.26,6.33,0.0,6401767,40664043.43
000090.SZ,20260708,20260708 13:25:57,天健集团,3.07,3.03,3.08,3.01,3.04,0.9868421052631415,9397469,28667968.42
000096.SZ,20260708,20260708 13:26:00,广聚能源,7.13,7.1,7.27,7.02,7.03,1.4224751066856278,5395500,38519550.0
000099.SZ,20260708,20260708 13:25:51,中信海直,13.82,14.1,14.12,13.75,14.03,-1.4967925873128896,5219000,72453854.0
000100.SZ,20260708,20260708 13:26:00,TCL科技,5.07,5.19,5.31,4.93,5.26,-3.61216730038022,945030066,4776100678.58
