ts_code,trade_date,update_time,price,open,high,low,close,pre_close,pct_chg,vol,amount,realtime_source
920527.BJ,20260707,20260707 13:27:07,17.09,13.8,17.69,13.62,17.09,13.61,25.569434239529755,6486084,107669275.03,realtime_quote_fallback
301516.SZ,20260707,20260707 13:27:03,18.72,15.71,18.72,15.71,18.72,15.6,19.999999999999996,22658729,404299831.74,realtime_quote_fallback
301251.SZ,20260707,20260707 13:26:57,50.77,50.77,50.77,50.77,50.77,42.31,19.995272985109903,3985496,202343631.92,realtime_quote_fallback
688432.SH,20260707,20260707 13:27:10,46.11,38.98,46.14,38.13,46.11,38.45,19.921976592977874,66790060,2938228313.0,realtime_quote_fallback
688261.SH,20260707,20260707 13:27:09,100.67,88.39,102.2,88.39,100.67,85.17,18.198896324997072,14789764,1446158682.0,realtime_quote_fallback
300043.SZ,20260707,20260707 13:27:00,5.2,4.6,5.44,4.53,5.2,4.53,14.790286975717425,148332555,759298028.68,realtime_quote_fallback
688802.SH,20260707,20260707 13:27:11,835.8,727.0,876.0,723.0,835.8,731.0,14.33652530779752,3868269,3171041624.0,realtime_quote_fallback
301237.SZ,20260707,20260707 13:27:00,83.69,77.5,87.64,77.5,83.69,74.15,12.865812542144294,7257856,601027149.06,realtime_quote_fallback
300276.SZ,20260707,20260707 13:26:57,7.88,7.07,8.42,7.06,7.88,7.02,12.250712250712258,126240706,1011840647.72,realtime_quote_fallback
300745.SZ,20260707,20260707 13:27:00,55.69,50.24,57.5,49.7,55.69,49.69,12.074864157778231,16569634,888161043.65,realtime_quote_fallback
300985.SZ,20260707,20260707 13:27:00,55.21,49.86,57.03,49.86,55.21,49.35,11.87436676798379,8750941,469619490.65,realtime_quote_fallback
688596.SH,20260707,20260707 13:27:08,79.43,71.0,83.0,68.85,79.43,71.0,11.87323943661973,32782070,2518464133.0,realtime_quote_fallback
300717.SZ,20260707,20260707 13:27:00,24.05,21.45,24.16,21.0,24.05,21.5,11.860465116279073,9376344,214429316.92,realtime_quote_fallback
920122.BJ,20260707,20260707 13:27:07,25.81,22.85,26.63,22.85,25.81,23.17,11.394044022442795,2839240,71177719.43,realtime_quote_fallback
