trade_date,ts_code,name,industry,is_hot_board,board_rank,board_limit_up_count,is_st_like
20260130,000020.SZ,深华发Ａ,元器件,1,6.0,6.0,0
20260130,000031.SZ,大悦城,全国地产,0,,,0
20260130,000060.SZ,中金岭南,铅锌,1,1.0,9.0,0
20260130,000426.SZ,兴业银锡,铅锌,1,1.0,9.0,0
20260130,000506.SZ,招金黄金,黄金,1,2.0,9.0,0
20260130,000546.SZ,金圆股份,环境保护,0,,,0
20260130,000603.SZ,盛达资源,铅锌,1,1.0,9.0,0
20260130,000630.SZ,铜陵有色,铜,1,3.0,8.0,0
20260130,000751.SZ,锌业股份,铅锌,1,1.0,9.0,0
20260130,000758.SZ,中色股份,铅锌,1,1.0,9.0,0
20260130,000796.SZ,凯撒旅业,旅游服务,0,,,0
20260130,000798.SZ,中水渔业,渔业,0,,,0
20260130,000826.SZ,启迪环境,环境保护,0,,,0
20260130,000878.SZ,云南铜业,铜,1,3.0,8.0,0
20260130,000911.SZ,广农糖业,食品,0,,,0
20260130,000975.SZ,山金国际,黄金,1,2.0,9.0,0
20260130,000995.SZ,皇台酒业,白酒,0,,,0
20260130,001337.SZ,四川黄金,黄金,1,2.0,9.0,0
20260130,002009.SZ,天奇股份,工程机械,0,,,0
20260130,002023.SZ,海特高新,航空,0,,,0
20260130,002041.SZ,登海种业,种植业,1,10.0,4.0,0
20260130,002137.SZ,实益达,元器件,1,6.0,6.0,0
20260130,002155.SZ,湖南黄金,黄金,1,2.0,9.0,0
20260130,002160.SZ,常铝股份,铝,0,,,0
20260130,002165.SZ,红 宝 丽,化工原料,1,7.0,6.0,0
20260130,002183.SZ,怡 亚 通,仓储物流,0,,,0
20260130,002207.SZ,准油股份,石油开采,0,,,0
20260130,002218.SZ,拓日新能,新型电力,0,,,0
20260130,002227.SZ,奥 特 迅,电气设备,1,9.0,4.0,0
20260130,002237.SZ,恒邦股份,黄金,1,2.0,9.0,0
20260130,002295.SZ,精艺股份,铜,1,3.0,8.0,0
20260130,002440.SZ,闰土股份,染料涂料,0,,,0
20260130,002455.SZ,百川股份,化工原料,1,7.0,6.0,0
20260130,002491.SZ,通鼎互联,通信设备,0,,,0
20260130,002562.SZ,兄弟科技,化学制药,0,,,0
20260130,002578.SZ,闽发铝业,铝,0,,,0
20260130,002645.SZ,华宏科技,专用机械,1,5.0,6.0,0
20260130,002667.SZ,威领股份,小金属,1,4.0,7.0,0
20260130,002716.SZ,湖南白银,小金属,1,4.0,7.0,0
20260130,002731.SZ,萃华珠宝,服饰,0,,,0
20260130,002806.SZ,华锋股份,汽车配件,0,,,0
20260130,002809.SZ,红墙股份,化工原料,1,7.0,6.0,0
20260130,002828.SZ,贝肯能源,石油开采,0,,,0
20260130,002830.SZ,名雕股份,装修装饰,0,,,0
20260130,002880.SZ,卫光生物,生物制药,0,,,0
20260130,002952.SZ,亚世光电,元器件,1,6.0,6.0,0
20260130,002985.SZ,北摩高科,航空,0,,,0
20260130,002995.SZ,天地在线,互联网,0,,,0
20260130,003042.SZ,中农联合,农药化肥,0,,,0
20260130,300139.SZ,晓程科技,黄金,1,2.0,9.0,0
20260130,300731.SZ,科创新源,橡胶,0,,,0
20260130,300805.SZ,电声股份,广告包装,0,,,0
20260130,301486.SZ,致尚科技,元器件,1,6.0,6.0,0
20260130,600084.SH,中信尼雅,红黄酒,0,,,0
20260130,600172.SH,黄河旋风,矿物制品,0,,,0
20260130,600187.SH,国中水务,水务,0,,,0
20260130,600219.SH,南山铝业,铝,0,,,0
20260130,600301.SH,华锡有色,小金属,1,4.0,7.0,0
20260130,600313.SH,农发种业,种植业,1,10.0,4.0,0
20260130,600330.SH,天通股份,专用机械,1,5.0,6.0,0
20260130,600331.SH,宏达股份,农药化肥,0,,,0
20260130,600345.SH,长江通信,通信设备,0,,,0
20260130,600354.SH,敦煌种业,种植业,1,10.0,4.0,0
20260130,600362.SH,江西铜业,铜,1,3.0,8.0,0
20260130,600371.SH,万向德农,种植业,1,10.0,4.0,0
20260130,600392.SH,盛和资源,小金属,1,4.0,7.0,0
20260130,600395.SH,盘江股份,煤炭开采,0,,,0
20260130,600403.SH,大有能源,煤炭开采,0,,,0
20260130,600459.SH,贵研铂业,小金属,1,4.0,7.0,0
20260130,600487.SH,亨通光电,通信设备,0,,,0
20260130,600489.SH,中金黄金,黄金,1,2.0,9.0,0
20260130,600490.SH,鹏欣资源,铜,1,3.0,8.0,0
