ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
600131.SH,20260313,4.7917,11.5227,,2639976.1619,
920263.BJ,20260313,0.6565,1.0489,,168502.7749,
002799.SZ,20260313,2.7726,5.1879,,286115.76,
603390.SH,20260313,1.2057,3.2819,,428312.1165,
688612.SH,20260313,1.2498,1.4017,,1211034.4151,
002628.SZ,20260313,4.2503,5.3562,,392935.1154,
301584.SZ,20260313,8.0551,8.0551,,1223843.1186,
301132.SZ,20260313,5.485,10.8438,,587310.0635,
301314.SZ,20260313,8.5536,8.5536,,266968.0,
688662.SH,20260313,7.3699,13.1776,,537381.6,
002576.SZ,20260313,3.1187,4.3926,,315010.8,
600665.SH,20260313,1.0413,2.4509,,304171.1274,
300629.SZ,20260313,11.339,12.7187,,669037.7313,
920690.BJ,20260313,1.3893,2.6092,,185109.6,
600568.SH,20260313,2.2031,3.5919,,609818.1224,
002601.SZ,20260313,1.5886,2.0913,,4658820.7014,
300382.SZ,20260313,1.5554,2.3618,,805312.7925,
600774.SH,20260313,1.4843,3.5636,,279395.6847,
301362.SZ,20260313,10.7475,10.7475,,1081031.76,
600318.SH,20260313,7.7229,10.1084,,446073.0398,
603318.SH,20260313,12.2045,21.336,,475909.621,
300110.SZ,20260313,2.287,2.8596,,391312.497,
301129.SZ,20260313,6.8013,12.0649,,378202.4642,
002171.SZ,20260313,2.425,3.2141,,2012442.9613,
002775.SZ,20260313,1.8908,3.6191,,283775.7202,
001227.SZ,20260313,2.0924,2.3536,,1344184.5316,
301508.SZ,20260313,3.0202,3.0202,,718724.8508,
000750.SZ,20260313,0.9479,1.3689,,2592786.8377,
300190.SZ,20260313,5.0616,7.2823,,403885.806,
301458.SZ,20260313,3.002,3.4588,,970133.4546,
600678.SH,20260313,7.6925,9.6765,,400640.52,
300973.SZ,20260313,2.1813,2.8331,,625035.863,
603908.SH,20260313,1.2836,3.2574,,232724.343,
300287.SZ,20260313,1.4929,1.526,,678884.5112,
603169.SH,20260313,8.5037,15.7737,,1672053.5014,
605507.SH,20260313,1.5937,3.4795,,1634558.7375,
002082.SZ,20260313,2.3803,4.3472,,1132236.4408,
601108.SH,20260313,0.8391,1.2414,,3854323.7191,
920519.BJ,20260313,1.9768,2.2711,,114518.1474,
301229.SZ,20260313,1.3644,1.7828,,339565.9759,
301378.SZ,20260313,4.2529,5.4579,,328150.2,
920981.BJ,20260313,1.6075,2.4411,,229862.808,
601100.SH,20260313,0.3794,1.064,,14440642.0838,
688075.SH,20260313,0.2295,0.8847,,501722.9141,
600478.SH,20260313,3.992,5.6045,,1302452.9963,
688600.SH,20260313,2.7273,4.9335,,357785.7494,
301336.SZ,20260313,2.5826,3.2556,,222480.0,
301285.SZ,20260313,2.4188,2.4194,,1628559.6,
920036.BJ,20260313,46.9565,46.9565,,302639.7799,
603266.SH,20260313,1.4741,3.2894,,399961.2543,
603076.SH,20260313,1.8209,3.6876,,320220.6656,
300880.SZ,20260313,9.1688,20.3583,,456230.9606,
300175.SZ,20260313,0.8372,1.1009,,306020.0,
301281.SZ,20260313,8.7959,12.6671,,537226.69,
300508.SZ,20260313,2.6906,4.3883,,444093.0264,
002058.SZ,20260313,0.6229,1.1738,,304110.4638,
688303.SH,20260313,0.784,3.1352,,5105589.6231,
600262.SH,20260313,1.8238,2.9668,,457810.0,
002375.SZ,20260313,1.0832,2.3366,,561458.5327,
000799.SZ,20260313,2.6657,3.8635,,1537888.8623,
300333.SZ,20260313,1.2344,1.4413,,336000.0,
301230.SZ,20260313,2.4278,3.9842,,552623.3692,
002386.SZ,20260313,3.6128,5.3887,,838260.715,
300720.SZ,20260313,10.6928,23.4812,,958406.345,
600006.SH,20260313,0.7438,1.8645,,1380000.0,
603520.SH,20260313,0.9997,1.2872,,433148.9624,
300703.SZ,20260313,3.3187,4.9617,,381167.9579,
002983.SZ,20260313,3.495,6.9983,,573247.3002,
002668.SZ,20260313,1.3218,2.6537,,1040746.9709,
920694.BJ,20260313,2.4405,4.5031,,262063.5364,
300656.SZ,20260313,1.7579,2.2375,,399748.1682,
300477.SZ,20260313,2.9213,2.9677,,307669.3632,
301161.SZ,20260313,1.5194,1.8735,,389880.0,
300893.SZ,20260313,0.8727,1.3104,,1030196.7573,
300853.SZ,20260313,2.2192,2.4887,,318291.5622,
301516.SZ,20260313,11.4152,11.4152,,531368.4222,
688301.SH,20260313,0.8897,1.4308,,2468457.2487,
603886.SH,20260313,1.2703,2.5152,,306480.0,
001324.SZ,20260313,13.7287,18.2146,,289938.0,
605099.SH,20260313,0.6502,6.2389,,1645147.2786,
000019.SZ,20260313,5.0271,7.729,,874774.2578,
605177.SH,20260313,1.8348,3.7435,,259281.0289,
002315.SZ,20260313,3.5684,4.2805,,1327949.3476,
603097.SH,20260313,3.3976,11.3249,,616186.5183,
600763.SH,20260313,1.8576,2.8099,,1987305.5468,
603000.SH,20260313,2.4245,5.5807,,2243447.1526,
603801.SH,20260313,0.8241,1.5329,,412199.4758,
300095.SZ,20260313,2.5892,2.8286,,436473.6804,
603060.SH,20260313,0.9002,2.8499,,547497.2251,
600422.SH,20260313,0.5787,0.9039,,919725.5448,
603320.SH,20260313,2.366,5.8249,,345124.3137,
002451.SZ,20260313,6.0572,9.8064,,486940.35,
300471.SZ,20260313,7.7854,10.6181,,722633.9695,
000677.SZ,20260313,2.5894,3.6038,,433716.9299,
002483.SZ,20260313,1.6037,2.3943,,700310.0463,
300516.SZ,20260313,2.1066,6.5837,,1095480.0,
002267.SZ,20260313,2.3477,6.6005,,904117.3368,
000698.SZ,20260313,1.3328,2.4218,,336820.4163,
300184.SZ,20260313,3.5441,3.6292,,1228151.2742,
301330.SZ,20260313,2.6483,6.4328,,892217.7261,
601002.SH,20260313,1.3738,2.4977,,524942.396,
688121.SH,20260313,2.6687,3.8201,,299726.7658,
002047.SZ,20260313,3.7461,5.6684,,883972.988,
300210.SZ,20260313,1.1109,1.4817,,435313.7377,
603890.SH,20260313,1.4661,2.166,,645190.7636,
601827.SH,20260313,0.7006,2.486,,1551554.1024,
301267.SZ,20260313,0.5331,2.0555,,1487640.0,
300514.SZ,20260313,3.606,4.7742,,294200.0,
600825.SH,20260313,1.0078,2.0775,,641561.1399,
688202.SH,20260313,3.866,6.5276,,871139.5611,
000633.SZ,20260313,2.1258,2.6821,,279587.2268,
002757.SZ,20260313,4.7905,7.5652,,619866.5055,
920719.BJ,20260313,6.6193,7.2562,,117297.684,
002007.SZ,20260313,0.4835,0.7785,,2788698.8723,
301367.SZ,20260313,0.8682,1.409,,646016.0,
002084.SZ,20260313,8.8267,15.0227,,277158.0412,
920438.BJ,20260313,1.4223,2.3158,,582336.425,
300072.SZ,20260313,10.0892,16.1457,,1395733.8594,
000825.SZ,20260313,1.3789,3.7585,,2825338.9068,
300332.SZ,20260313,9.4991,11.4605,,535511.0169,
301045.SZ,20260313,6.5325,7.0725,,533389.2609,
688116.SH,20260313,3.2874,3.7754,,1625936.0452,
300181.SZ,20260313,0.9204,0.9728,,1141157.194,
603637.SH,20260313,2.9569,3.7532,,293822.3146,
000968.SZ,20260313,6.576,15.2205,,915257.5164,
605179.SH,20260313,0.4607,2.2125,,723805.0,
600089.SH,20260313,4.0482,4.9393,,15320067.0753,
600756.SH,20260313,9.2986,11.493,,616395.4915,
300327.SZ,20260313,2.6673,3.49,,889269.2981,
002679.SZ,20260313,1.3881,3.8164,,265697.012,
603313.SH,20260313,0.9416,1.7286,,518663.4785,
688605.SH,20260313,2.7819,3.4339,,1258802.7043,
301047.SZ,20260313,0.4946,1.304,,865810.3296,
002176.SZ,20260313,4.1741,5.0324,,1708031.9066,
300829.SZ,20260313,9.0125,9.3677,,463186.6681,
000970.SZ,20260313,2.0842,2.7627,,1637582.6162,
600692.SH,20260313,2.4254,2.605,,284577.1278,
603113.SH,20260313,9.203,18.2643,,695762.3051,
300261.SZ,20260313,5.903,9.0989,,705142.5328,
920982.BJ,20260313,0.6874,0.8634,,2143782.3495,
001332.SZ,20260313,6.4838,11.2147,,668133.03,
002886.SZ,20260313,3.6084,4.8799,,616685.9528,
300437.SZ,20260313,31.1154,37.0141,,524282.3861,
603356.SH,20260313,4.9432,7.0132,,260279.68,
002869.SZ,20260313,6.7649,8.7143,,406904.4793,
601518.SH,20260313,1.0455,3.3083,,576618.7165,
300308.SZ,20260313,1.9175,2.5462,,60224835.9395,
300425.SZ,20260313,2.0414,3.2716,,366354.7461,
603182.SH,20260313,1.1833,1.8098,,261469.95,
300003.SZ,20260313,3.5674,4.9269,,3257281.6932,
002252.SZ,20260313,0.3961,0.6909,,4135464.5535,
300946.SZ,20260313,1.476,2.3502,,747277.362,
000812.SZ,20260313,1.6336,1.9682,,327463.0536,
002612.SZ,20260313,2.1234,2.9156,,776934.0785,
301548.SZ,20260313,7.0501,7.4003,,658503.0,
920953.BJ,20260313,3.9473,6.6083,,439437.8457,
300047.SZ,20260313,3.6087,3.6813,,819501.9035,
002802.SZ,20260313,2.0157,3.5874,,255222.786,
300942.SZ,20260313,1.1009,2.5221,,386030.5321,
000157.SZ,20260313,0.9214,1.3838,,7922058.2762,
300305.SZ,20260313,2.1843,2.9957,,257149.2548,
601096.SH,20260313,3.8339,7.8054,,1736175.6521,
688501.SH,20260313,1.3847,2.3069,,331186.516,
688141.SH,20260313,3.9782,6.2292,,2291686.6682,
300203.SZ,20260313,1.613,2.1255,,649772.0448,
603825.SH,20260313,0.4912,0.7777,,228002.8968,
600668.SH,20260313,1.2169,1.4513,,455842.2558,
603848.SH,20260313,0.2816,1.6458,,670409.2473,
300290.SZ,20260313,2.202,2.753,,996063.6099,
603877.SH,20260313,0.3495,1.1863,,727812.0106,
920639.BJ,20260313,3.8623,4.962,,173779.2,
000909.SZ,20260313,1.1332,1.9349,,261315.4043,
300582.SZ,20260313,2.7911,3.0846,,471687.651,
600895.SH,20260313,0.9524,1.8585,,5767319.8842,
603933.SH,20260313,1.1094,3.0209,,446635.9254,
605566.SH,20260313,1.2898,2.9421,,361751.42,
300219.SZ,20260313,8.2207,12.7835,,592548.7145,
002338.SZ,20260313,0.8733,1.4902,,1224480.0,
301396.SZ,20260313,29.4775,29.811,,2348818.4691,
000783.SZ,20260313,0.7214,1.2553,,4175205.0757,
600193.SH,20260313,1.2076,1.4166,,195246.207,
600690.SH,20260313,0.4956,0.8571,,23519095.1622,
002029.SZ,20260313,1.5934,2.6972,,726174.2431,
301197.SZ,20260313,2.6942,3.7285,,280617.12,
300821.SZ,20260313,3.9168,9.4623,,1574400.0,
920425.BJ,20260313,1.5202,2.2702,,160174.7254,
300457.SZ,20260313,2.3462,3.9906,,1614884.1083,
920339.BJ,20260313,0.6989,1.9304,,203688.515,
688291.SH,20260313,1.4161,4.3183,,426066.805,
920809.BJ,20260313,5.4961,5.4961,,442098.9,
000960.SZ,20260313,2.7136,4.8275,,6069998.4709,
300651.SZ,20260313,9.3571,12.0076,,389032.6904,
601872.SH,20260313,1.977,6.2819,,12580130.9861,
002526.SZ,20260313,2.8856,3.6622,,675678.8638,
300442.SZ,20260313,3.7986,9.3545,,13653306.2088,
688278.SH,20260313,0.7202,1.8265,,2889573.3289,
920414.BJ,20260313,5.8115,6.6231,,110211.9723,
000686.SZ,20260313,0.6674,1.1628,,2015129.9598,
000893.SZ,20260313,2.3392,3.4721,,6393510.1629,
600208.SH,20260313,0.7954,1.8487,,2978129.28,
000036.SZ,20260313,2.6809,3.8234,,708928.4561,
600872.SH,20260313,1.5193,1.9758,,1443356.1087,
601008.SH,20260313,1.5103,3.6744,,636447.2971,
603383.SH,20260313,0.8709,1.4955,,661525.949,
300565.SZ,20260313,7.3079,7.5448,,340597.0908,
920375.BJ,20260313,31.5499,36.7757,,196601.8468,
688277.SH,20260313,1.6108,2.2805,,1093924.8896,
920523.BJ,20260313,2.0679,2.6846,,260547.1211,
002199.SZ,20260313,0.7925,1.2548,,192562.9091,
002758.SZ,20260313,4.5264,7.9301,,564975.9214,
688307.SH,20260313,5.9185,8.9168,,491097.768,
603341.SH,20260313,1.7927,1.964,,2167183.4007,
300784.SZ,20260313,3.0421,3.0421,,294516.3112,
688553.SH,20260313,0.9974,1.3787,,752737.2,
300109.SZ,20260313,2.3182,2.4559,,889471.5092,
000070.SZ,20260313,10.2644,16.4934,,1538689.1948,
300566.SZ,20260313,4.0445,4.4796,,538887.1049,
600227.SH,20260313,31.164,37.7251,,737973.9983,
688177.SH,20260313,0.2618,0.8983,,922156.16,
601186.SH,20260313,1.8158,4.5939,,10198235.6665,
600506.SH,20260313,3.9798,6.7972,,433194.7151,
600892.SH,20260313,0.7582,1.1638,,203085.5002,
002290.SZ,20260313,1.7035,3.0389,,1570551.0489,
600787.SH,20260313,1.4634,2.8347,,1280346.9534,
600985.SH,20260313,1.414,3.6676,,3821734.1081,
002581.SZ,20260313,1.8784,2.1711,,517892.435,
002803.SZ,20260313,2.7039,2.9971,,823340.8665,
603077.SH,20260313,12.5859,18.7418,,2896744.2108,
000919.SZ,20260313,0.9594,1.6462,,458358.3771,
603629.SH,20260313,12.5562,23.0473,,1618884.6,
300581.SZ,20260313,1.1786,2.2614,,794908.294,
603733.SH,20260313,0.448,2.1996,,1701368.7076,
688660.SH,20260313,4.1658,10.6816,,2060000.103,
920021.BJ,20260313,6.4644,7.8135,,309926.9829,
300616.SZ,20260313,1.7221,1.9826,,294789.4817,
300561.SZ,20260313,6.5085,11.0314,,417681.4522,
688227.SH,20260313,1.2455,2.1389,,783133.8899,
002826.SZ,20260313,8.5641,11.4429,,415486.8173,
002027.SZ,20260313,0.8884,1.3182,,9921791.2118,
688092.SH,20260313,1.1606,2.4665,,253777.6818,
002121.SZ,20260313,4.7333,6.2616,,1591062.3871,
600960.SH,20260313,2.2513,4.0754,,518030.9573,
601099.SH,20260313,1.4925,1.6754,,2719710.2316,
600526.SH,20260313,1.1641,2.1016,,519002.4586,
300938.SZ,20260313,6.0514,9.8893,,966923.9979,
002968.SZ,20260313,1.4004,2.8546,,282394.6732,
300793.SZ,20260313,2.1916,3.0482,,610775.3124,
002378.SZ,20260313,10.2291,23.8032,,4435634.0229,
600488.SH,20260313,0.9079,2.0689,,460776.179,
001268.SZ,20260313,1.9336,2.7148,,335672.6687,
601198.SH,20260313,0.6776,1.2319,,4376731.2341,
600276.SH,20260313,0.3828,0.628,,36577608.5056,
605333.SH,20260313,0.2885,1.2493,,1246876.5709,
002035.SZ,20260313,1.7582,2.1935,,531478.8185,
605081.SH,20260313,1.7544,2.4356,,107924.4596,
301317.SZ,20260313,11.264,13.1237,,900698.7,
301306.SZ,20260313,14.2577,21.1682,,918525.2,
688348.SH,20260313,3.6581,9.8593,,916098.324,
002114.SZ,20260313,6.1881,8.5232,,307872.2942,
688590.SH,20260313,3.0052,4.2244,,390665.7623,
002301.SZ,20260313,0.9447,1.6441,,522226.9435,
603639.SH,20260313,1.2656,3.6834,,505241.701,
600130.SH,20260313,2.0448,2.4575,,342750.0,
605377.SH,20260313,2.2904,4.2853,,566690.3328,
300094.SZ,20260313,4.0196,5.2235,,399371.2076,
300862.SZ,20260313,2.6122,2.9791,,428682.7684,
000692.SZ,20260313,2.4528,3.5035,,224855.5159,
600299.SH,20260313,2.3058,16.2,,4761338.7313,
688408.SH,20260313,3.2349,5.4626,,978348.2469,
300596.SZ,20260313,2.6617,3.9648,,1086101.0249,
920092.BJ,20260313,2.834,5.0351,,212933.371,
920185.BJ,20260313,1.8729,6.9736,,3523837.4722,
688529.SH,20260313,0.868,1.5401,,313816.3283,
688616.SH,20260313,2.7979,6.1683,,261354.1321,
603289.SH,20260313,1.5821,4.322,,332996.5627,
002611.SZ,20260313,2.1447,2.5512,,2059648.4873,
603528.SH,20260313,1.0569,2.2782,,608511.7729,
688609.SH,20260313,1.1916,1.4443,,428500.0,
301041.SZ,20260313,5.752,6.6928,,310225.44,
300067.SZ,20260313,4.5674,5.6386,,562180.4175,
920527.BJ,20260313,1.385,1.6658,,106515.7498,
603329.SH,20260313,1.2059,2.1917,,279557.2137,
000700.SZ,20260313,2.8928,4.5783,,1139257.0977,
603069.SH,20260313,1.0232,2.3859,,606720.0,
600976.SH,20260313,0.6537,0.9014,,487654.1494,
300947.SZ,20260313,2.143,3.4788,,270083.0628,
300846.SZ,20260313,17.5587,19.0459,,1612787.5233,
000007.SZ,20260313,3.0392,4.5764,,474287.3722,
003816.SZ,20260313,0.692,4.0448,,21865954.9223,
000788.SZ,20260313,1.9545,2.9149,,362360.3544,
920931.BJ,20260313,2.6332,2.6332,,125584.41,
002632.SZ,20260313,4.3096,9.4331,,829467.5915,
301277.SZ,20260313,0.5284,2.0509,,485785.1376,
300142.SZ,20260313,1.6487,1.6487,,1928814.3404,
920508.BJ,20260313,3.1874,5.0643,,135060.0,
002332.SZ,20260313,0.9227,1.1777,,898198.0183,
002762.SZ,20260313,2.4733,3.183,,248171.525,
603232.SH,20260313,9.1332,12.8208,,547050.0897,
300025.SZ,20260313,1.6289,1.9367,,298152.6523,
300605.SZ,20260313,2.7662,2.9903,,249359.9564,
300033.SZ,20260313,2.2224,3.4974,,17105356.8,
301223.SZ,20260313,0.9226,1.963,,382392.5688,
000655.SZ,20260313,3.821,9.1874,,622130.5404,
605009.SH,20260313,0.4019,1.2048,,638100.7033,
688458.SH,20260313,1.7975,1.7975,,423169.9704,
603271.SH,20260313,2.6831,3.1338,,904912.0,
600674.SH,20260313,1.0465,3.1086,,7662881.9336,
603198.SH,20260313,0.2828,1.018,,2838400.0,
002603.SZ,20260313,0.6597,1.2057,,2826833.4962,
002351.SZ,20260313,0.7562,0.968,,1038476.976,
688237.SH,20260313,1.0081,2.2602,,434240.0116,
000821.SZ,20260313,2.6498,3.4453,,858944.3189,
002782.SZ,20260313,4.4373,10.7003,,1251813.1688,
920116.BJ,20260313,1.3101,4.5415,,1541029.875,
000567.SZ,20260313,0.6275,2.5576,,1073071.0931,
300402.SZ,20260313,2.5461,5.6091,,525416.9681,
002849.SZ,20260313,3.7197,4.7694,,400671.3731,
002358.SZ,20260313,5.7673,7.3457,,808888.57,
300141.SZ,20260313,3.6855,7.6896,,370264.8456,
600010.SH,20260313,4.606,7.2478,,12997833.7529,
600861.SH,20260313,0.7564,1.2306,,956164.3807,
300560.SZ,20260313,3.1825,3.9892,,355643.1269,
601958.SH,20260313,1.5549,5.6246,,7059810.4272,
000701.SZ,20260313,1.7038,2.8595,,402324.4898,
601208.SH,20260313,7.3283,9.5296,,3352797.1878,
601026.SH,20260313,18.5966,18.5966,,1477056.0,
002425.SZ,20260313,1.3931,1.7346,,334832.7731,
688271.SH,20260313,0.7309,1.4333,,9830556.4809,
600592.SH,20260313,1.248,2.0081,,873823.6598,
600997.SH,20260313,2.4039,7.825,,1090818.4976,
603176.SH,20260313,1.0459,3.3278,,272310.8319,
600216.SH,20260313,5.9538,9.551,,1707868.644,
600419.SH,20260313,1.2203,1.9492,,303522.4295,
603758.SH,20260313,0.6399,1.8157,,598080.3778,
688648.SH,20260313,3.8478,4.3715,,838712.0,
300403.SZ,20260313,1.6079,1.9013,,764604.0,
301105.SZ,20260313,6.8411,6.8411,,275300.0,
301611.SZ,20260313,4.1675,4.3932,,4687872.0,
000885.SZ,20260313,1.4721,5.2287,,931013.4698,
605098.SH,20260313,1.3181,3.2095,,664467.1292,
301568.SZ,20260313,9.2232,9.2232,,589295.6888,
301095.SZ,20260313,2.0204,3.2155,,1463253.6289,
002400.SZ,20260313,4.1662,5.1478,,1577720.1008,
600984.SH,20260313,5.8396,9.5913,,555613.4149,
688060.SH,20260313,1.035,3.3766,,287771.8706,
600331.SH,20260313,2.7438,3.9947,,4641291.2,
688281.SH,20260313,0.89,1.723,,2218725.2945,
002675.SZ,20260313,1.0883,1.3651,,1094238.5005,
920001.BJ,20260313,10.3161,20.5834,,301934.4409,
603818.SH,20260313,1.46,2.5188,,262946.2965,
002485.SZ,20260313,2.1444,8.7202,,279072.0,
600480.SH,20260313,0.7772,1.4062,,1316400.3279,
002577.SZ,20260313,0.6611,1.5869,,471275.152,
002281.SZ,20260313,11.3676,18.8112,,7174574.1383,
603276.SH,20260313,2.5055,2.5055,,370031.4037,
002556.SZ,20260313,3.4723,5.5806,,657830.0656,
300245.SZ,20260313,2.0169,2.4967,,367280.1627,
002630.SZ,20260313,3.2734,3.2734,,275126.4,
002703.SZ,20260313,8.6591,16.4338,,1871488.6736,
688350.SH,20260313,1.6692,2.8531,,409249.9022,
300876.SZ,20260313,7.8569,12.1048,,314200.5226,
603048.SH,20260313,1.1175,3.9181,,322254.72,
601015.SH,20260313,14.0676,37.7756,,1070268.7628,
603270.SH,20260313,2.7615,2.7615,,550615.0542,
301071.SZ,20260313,7.1339,9.9804,,1314375.1807,
601666.SH,20260313,1.8212,3.7854,,2244651.7987,
300789.SZ,20260313,0.9944,1.3014,,312871.699,
301192.SZ,20260313,1.4329,2.4031,,285214.5,
003001.SZ,20260313,1.9787,2.6219,,331087.7521,
603730.SH,20260313,0.746,3.8816,,1955212.6066,
688707.SH,20260313,1.8299,2.6256,,740216.9983,
300752.SZ,20260313,7.036,8.4862,,446029.9621,
920873.BJ,20260313,0.8865,1.0241,,118261.3785,
300445.SZ,20260313,1.619,2.1609,,441854.427,
000025.SZ,20260313,0.9257,2.0066,,732799.144,
300017.SZ,20260313,14.7843,16.7879,,4365523.3542,
300867.SZ,20260313,2.2296,2.7702,,522286.3039,
300803.SZ,20260313,2.3098,3.8288,,6297321.1062,
600615.SH,20260313,1.537,2.1969,,285866.3809,
002482.SZ,20260313,1.7749,3.7891,,671422.263,
300541.SZ,20260313,5.3112,5.3112,,656677.9393,
688663.SH,20260313,3.7577,6.0449,,878557.266,
600141.SH,20260313,3.7015,5.544,,4900695.1368,
