ts_code,trade_date,open,high,low,close,vol,amount,pct_chg
000001.SZ,20260608,10.97,11.1,10.96,11.03,1090926,1203946.3434,0.4554
000002.SZ,20260608,3.2,3.25,3.12,3.14,1524905,485328.51583,-3.3846
000006.SZ,20260608,8.25,8.3,7.92,7.96,390590,316738.99178,-6.463
000007.SZ,20260608,12.32,12.58,12.0,12.24,111474,137020.375,-0.5686
000008.SZ,20260608,2.56,2.58,2.5,2.55,372653,94670.365,-1.5444
000009.SZ,20260608,7.06,7.14,6.86,6.95,259584,181894.73618,-3.338
000010.SZ,20260608,2.22,2.37,2.17,2.31,564837,131661.27636,2.2124
000011.SZ,20260608,7.4,7.44,7.04,7.17,58115,42004.206,-5.409
000012.SZ,20260608,4.2,4.49,4.2,4.31,828113,358907.16944,-1.5982
000014.SZ,20260608,10.5,10.7,10.19,10.35,52948,55276.594,-2.9991
000016.SZ,20260608,3.08,3.15,3.03,3.06,287541,88694.12944,-3.7736
000017.SZ,20260608,5.28,5.31,5.0,5.05,97345,50067.25,-5.0752
000019.SZ,20260608,6.42,6.45,6.25,6.34,92742,58897.4033,-1.2461
000020.SZ,20260608,12.3,12.36,11.68,11.87,36994,44378.866,-4.7352
000021.SZ,20260608,35.7,37.03,34.85,35.37,1186883,4271846.46708,-7.2384
000025.SZ,20260608,14.9,15.26,14.28,14.44,78588,115435.56339,-5.4974
000026.SZ,20260608,21.99,22.14,21.08,21.35,135198,292152.0,-5.3635
000027.SZ,20260608,7.08,7.32,7.04,7.08,598492,428570.01888,-2.8807
000028.SZ,20260608,22.75,22.79,22.26,22.39,24917,56102.31265,-1.7552
000029.SZ,20260608,23.01,23.09,21.9,22.31,67281,150510.83385,-3.3781
000030.SZ,20260608,4.48,4.54,4.4,4.47,115708,51725.49945,-1.1062
000031.SZ,20260608,2.64,2.7,2.57,2.64,730612,193724.78301,-0.3774
000032.SZ,20260608,15.49,15.73,14.96,15.1,200907,307471.99724,-5.0314
000034.SZ,20260608,23.5,23.95,22.8,23.06,332389,777777.92049,-5.6465
000035.SZ,20260608,5.47,5.51,5.16,5.21,580383,307666.57889,-5.4446
000036.SZ,20260608,4.99,5.08,4.91,4.97,299159,149293.33465,-2.7397
000037.SZ,20260608,10.5,10.96,10.14,10.35,306632,321545.13307,-5.4795
000039.SZ,20260608,9.67,9.8,9.31,9.43,416138,396711.1955,-4.458
000042.SZ,20260608,9.89,10.0,9.61,9.63,70924,69458.21992,-3.4102
001914.SZ,20260608,9.52,9.67,9.32,9.37,73524,69480.5811,-2.1921
000045.SZ,20260608,11.42,11.51,10.8,10.99,90707,101426.357,-4.766
000048.SZ,20260608,14.0,15.15,13.88,14.74,216827,319222.40454,4.539
000049.SZ,20260608,23.71,23.97,23.08,23.43,91196,214805.5831,-4.211
000050.SZ,20260608,8.38,8.85,8.2,8.22,724935,611390.7027,-4.5296
000055.SZ,20260608,3.62,3.81,3.51,3.57,480220,174688.82227,-2.7248
000056.SZ,20260608,1.85,1.93,1.77,1.92,970090,181267.37102,4.3478
